name,description,stroke-opacity,stroke,fill-opacity,ID_0,COUNTRY,ID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1
IND,India,1,#ff0000,0,IND.1_1,Andaman and Nicobar,Andaman & Nicobar Islands|Andaman et Nicobar|Iihas de Andama e Nicobar|Inseln Andamanen und Nikobare,,Union Territor,Union Territory,,IN.AN,
IND,India,1,#ff0000,0,IND.2_1,Andhra Pradesh,,,State,State,,IN.AP,
IND,India,1,#ff0000,0,IND.3_1,Arunachal Pradesh,Agence de la Frontière du Nord-Est(French-obsolete)|North East Frontier Agency,,State,State,,IN.AR,
IND,India,1,#ff0000,0,IND.4_1,Assam,,,State,State,,IN.AS,
IND,India,1,#ff0000,0,IND.5_1,Bihar,,,State,State,,IN.BR,
IND,India,1,#ff0000,0,IND.6_1,Chandigarh,,,Union Territor,Union Territory,,IN.CH,
IND,India,1,#ff0000,0,IND.7_1,Chhattisgarh,,,State,State,,IN.CT,
IND,India,1,#ff0000,0,IND.8_1,Dadra and Nagar Haveli,DAdra et Nagar Haveli|Dadra e Nagar Haveli,,Union Territor,Union Territory,,IN.DN,
IND,India,1,#ff0000,0,IND.9_1,Daman and Diu,,,Union Territor,Union Territory,,IN.DD,
IND,India,1,#ff0000,0,IND.10_1,Goa,Gôa,,State,State,,IN.GA,
IND,India,1,#ff0000,0,IND.11_1,Gujarat,Goudjerate|Gujerat|Gujerate,,State,State,,IN.GJ,
IND,India,1,#ff0000,0,IND.12_1,Haryana,,,State,State,,IN.HR,
IND,India,1,#ff0000,0,IND.13_1,Himachal Pradesh,,,Union Territor,Union Territory,,IN.HP,
IND,India,1,#ff0000,0,IND.14_1,Jammu and Kashmir,,,State,State,,IN.JK,
IND,India,1,#ff0000,0,IND.15_1,Jharkhand,Vananchal,,State,State,,IN.JH,
IND,India,1,#ff0000,0,IND.16_1,Karnataka,Maisur|Mysore,,State,State,,IN.KA,
IND,India,1,#ff0000,0,IND.17_1,Kerala,,,State,State,,IN.KL,
IND,India,1,#ff0000,0,IND.18_1,Lakshadweep,Íles Laquedives|Laccadive|Minicoy and Amindivi Islands|Laccadives|Lackadiverna|Lakkadiven|Lakkadi,,Union Territor,Union Territory,,IN.LD,
IND,India,1,#ff0000,0,IND.19_1,Madhya Pradesh,,,State,State,,IN.MP,
IND,India,1,#ff0000,0,IND.20_1,Maharashtra,,,State,State,,IN.MH,
IND,India,1,#ff0000,0,IND.21_1,Manipur,,,State,State,,IN.MN,
IND,India,1,#ff0000,0,IND.22_1,Meghalaya,,,State,State,,IN.ML,
IND,India,1,#ff0000,0,IND.23_1,Mizoram,,,State,State,,IN.MZ,
IND,India,1,#ff0000,0,IND.24_1,Nagaland,,,State,State,,IN.NL,
IND,India,1,#ff0000,0,IND.25_1,NCT of Delhi,,,Union Territor,Union Territory,,IN.DL,
IND,India,1,#ff0000,0,IND.26_1,Odisha,,,State,State,,IN.OR,
IND,India,1,#ff0000,0,IND.27_1,Puducherry,Pondicherry|Puduchcheri|Pondichéry,,Union Territor,Union Territory,,IN.PY,
IND,India,1,#ff0000,0,IND.28_1,Punjab,,,State,State,,IN.PB,
IND,India,1,#ff0000,0,IND.29_1,Rajasthan,Greater Rajasthan|Rajputana,,State,State,,IN.RJ,
IND,India,1,#ff0000,0,IND.30_1,Sikkim,,,State,State,,IN.SK,
IND,India,1,#ff0000,0,IND.31_1,Tamil Nadu,Madras|Tamilnad,,State,State,,IN.TN,
IND,India,1,#ff0000,0,IND.32_1,Telangana,,,State,State,,IN.TG,
IND,India,1,#ff0000,0,IND.33_1,Tripura,,,State,State,,IN.TR,
IND,India,1,#ff0000,0,IND.34_1,Uttar Pradesh,United Provinces,,State,State,,IN.UP,
IND,India,1,#ff0000,0,IND.35_1,Uttarakhand,Uttarakhand,,State,State,,IN.UT,
IND,India,1,#ff0000,0,IND.36_1,West Bengal,Bangla|Bengala Occidentale|Bengala Ocidental|Bengale occidental,,State,State,,IN.WB,
